QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
5,2.234,91.077,9,2.357,91.161,16,2.409,91.138,4,4.010,91.122,4,3.923,91.116
5,3.936,91.233,8,2.538,91.249,8,2.512,91.104,4,3.628,91.235,3,5.213,91.228
5,2.624,91.091,8,3.848,91.168,8,2.671,91.109,4,2.346,91.153,5,2.304,91.233
5,2.222,91.200,8,2.292,91.187,8,4.391,91.156,4,2.591,91.170,4,2.483,91.204
5,2.395,91.207,8,3.605,91.256,8,2.413,91.148,4,2.242,91.079,3,2.366,91.208
4,2.223,91.153,12,2.359,91.125,14,2.281,91.254,3,2.941,91.243,4,2.250,91.231
2,2.296,91.170,8,2.302,91.137,8,2.200,91.182,4,2.860,91.156,4,2.386,91.135
5,2.239,91.196,10,2.216,91.204,1,3.037,91.126,4,2.405,91.132,4,2.730,91.204
3,2.443,91.182,8,2.281,91.276,8,2.306,91.099,1,2.299,91.161,4,2.377,91.159
5,2.263,91.096,8,4.197,91.191,9,2.871,91.189,4,2.230,91.175,5,2.286,91.145
5,3.708,91.223,9,2.413,91.154,2,3.887,91.160,4,3.919,91.100,4,2.229,91.165
5,2.387,91.163,10,2.598,91.103,1,4.043,91.245,1,2.299,91.229,3,2.363,91.216
5,2.370,91.124,9,2.442,91.185,3,2.365,91.110,4,2.249,91.140,4,2.282,91.151
4,2.228,91.191,9,2.186,91.174,2,2.306,91.237,4,2.416,91.271,5,2.355,91.166
2,8.346,91.134,8,2.411,91.146,8,2.731,91.219,2,3.581,91.168,5,3.817,91.155
4,2.383,91.128,2,2.206,91.247,11,2.282,91.177,3,3.114,91.124,4,2.363,91.210
3,2.743,91.118,8,3.628,91.227,9,2.410,91.234,4,2.401,91.233,5,2.240,91.072
5,2.413,91.177,11,2.377,91.255,15,3.894,91.237,4,3.742,91.098,4,3.911,91.184
5,2.347,91.240,13,2.487,91.132,5,2.246,91.213,4,2.314,91.204,5,2.245,91.206
5,2.319,91.315,8,2.310,91.184,8,2.683,91.260,4,2.243,91.165,3,2.279,91.175
5,2.261,91.228,13,2.308,91.153,13,2.365,91.201,4,2.241,91.125,3,2.347,91.231
5,2.320,91.239,8,2.253,91.131,8,2.246,91.146,4,2.257,91.144,5,2.260,91.164
5,2.302,91.291,8,2.226,91.154,9,2.348,91.163,4,2.336,91.165,2,2.225,91.229
